id,X,Y,label
955,4790,3069,CD4+ T
956,122,3058,Plasma
957,1715,3058,CAF
958,2643,3067,CAF
959,1628,3051,CAF
960,3335,3060,CAF
961,84,3043,Plasma
962,1215,3018,Plasma
963,2410,3053,Macrophage
964,3026,3038,Endothelial
965,2877,3032,Plasma
966,5426,3045,Plasma
967,177,3036,B
968,3427,3050,Macrophage
969,3245,3040,Macrophage
970,3408,3025,CAF
971,3273,3004,Endothelial
972,5158,3001,Macrophage
973,4440,2996,CAF
974,3151,2993,CAF
975,1598,2982,Plasma
976,3895,3008,CAF
977,5235,2960,CAF
978,3497,2987,CAF
979,4921,2982,Dendritic (activated)
980,3183,2970,CAF
981,3008,2981,CAF
982,3421,2978,Endothelial
983,1191,2959,Macrophage
984,87,2955,CAF
985,1755,2956,CAF
986,3086,2944,CAF
987,3198,2917,Pericyte
988,3602,2956,Malignant
989,4145,2944,CAF
990,3043,2935,CAF
991,1424,2932,CAF
992,3496,2935,CAF
993,3444,2930,CAF
994,2596,2916,CAF
995,4047,2908,CAF
996,3299,2926,Schwann/nerve
997,3512,2897,Endothelial
998,1317,2894,Treg
999,5073,2898,CAF
1000,3122,2894,CAF
1001,1082,2896,B
1002,1848,2870,Macrophage
1003,1105,2866,Natural killer
1004,3311,2876,CAF
1005,3272,2876,Schwann/nerve
1006,4262,2861,CAF
1007,3363,2883,Schwann/nerve
1008,3550,2878,Endothelial
1009,3442,2880,CAF
1010,3077,2861,CAF
1011,1030,2854,Dendritic (activated)
1012,667,2839,CAF
1013,3138,2838,Schwann/nerve
1014,992,2836,Plasma
1015,3512,2808,Endothelial
1016,1520,2821,CAF
1017,2608,2835,Macrophage
1018,1242,2794,B
1019,4157,2804,CAF
1020,1147,2792,Natural killer
1021,1185,2791,B
1022,3345,2801,Schwann/nerve
1023,1008,2784,Plasma
1024,389,2780,B
1025,1938,2780,Macrophage
1026,4499,2781,Macrophage
1027,2452,2770,Macrophage
1028,2777,2750,CAF
1029,3236,2765,Schwann/nerve
1030,1091,2739,Dendritic (activated)
1031,295,2740,Plasma
1032,974,2741,Plasma
1033,1205,2743,B
1034,1283,2723,Plasma
1035,1228,2729,B
1036,3363,2742,Schwann/nerve
1037,3179,2740,Schwann/nerve
1038,3210,2740,Schwann/nerve
1039,1440,2721,Malignant
1040,1917,2706,B
1041,3349,2693,Schwann/nerve
1042,3549,2696,Endothelial
1043,1152,2697,B
1044,1200,2696,B
1045,2569,2699,Macrophage
1046,4190,2672,CAF
1047,3577,2665,CAF
1048,955,2672,Macrophage
1049,4382,2664,CAF
1050,4095,2670,Malignant
1051,1898,2655,CAF
1052,1540,2638,CAF
1053,1783,2650,Macrophage
1054,3448,2632,CAF
1055,1140,2638,B
1056,1401,2625,CAF
1057,90,2591,CAF
1058,2615,2631,Macrophage
1059,3078,2626,Macrophage
1060,3129,2636,CAF
